,Company Name,Location,Expected Salary,Job Title,Description About the Job,Link,Date Posted/Active
498,Buzo Media Services Private Limited,"Temporarily Remote in Mumbai, Maharashtra","?20,000 - ?30,000 a month",Copywriter,"
Write a clear, attractive copy with a distinct voice.
Proven work experience of 1+ years as a copywriter or related role.
Total work: 1 year (Required).
",https://in.indeed.com/company/Buzo-Media-Services-Private-Limited/jobs/Copywriter-226cc24b583d2aeb?fccid=d1f4f4227a6e37ea&vjs=3,PostedPosted 9 days ago
499,Financial Software & Systems,"Mumbai, Maharashtra","?4,00,000 - ?10,76,180 a year",Job Opportunity for Application Support (Base24),"
Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required).
Total work: 2 years (Preferred).
",https://in.indeed.com/company/Financial-Software-&-Systems/jobs/Opportunity-Application-Support-cb1a7dd1132149cc?fccid=6c954c7d5412b315&vjs=3,EmployerActive 8 days ago
500,Neodocs,"Mumbai, Maharashtra","?4,00,000 - ?6,00,000 a year",Accounts Executive,"
Experience in procurement and negotiation would be a bonus.
Ability to work effectively in a team whilst also being able to work independently when required.
",https://in.indeed.com/company/Neodocs/jobs/Account-Executive-f4edc839c4e98e44?fccid=5c43b1cdd68b0725&vjs=3,EmployerActive 4 days ago
501,Gourmet Lifestyle Foods,"Bhandup, Mumbai, Maharashtra","?32,000 - ?45,000 a month",Export Import Executive,"
Candidate will be responsible for managing Import of food products mainly Olive Oil from Europe and managing distribution and logistics.
",https://in.indeed.com/company/Valson-Dyeing-Bleaching-and-Printing/jobs/Export-Import-Executive-c3373fcba8212566?fccid=b6b9dc055e797902&vjs=3,EmployerActive 3 days ago
502,Elgiva Business Solutions,"Mumbai, Maharashtra","?6,00,000 - ?8,00,000 a year",Personal Assistant to MD,"
6-8 years in a relevant position within a well-established large organisation.
Executes the secretarial and administrative tasks and provides the required…
",https://in.indeed.com/company/Elgiva-Business-Solutions/jobs/Personal-Assistant-Md-2c07b21e313f7af1?fccid=7d119172616778fe&vjs=3,PostedPosted 11 days ago
503,Tech Mahindra,"Mumbai, Maharashtra","?2,00,000 - ?2,90,000 a year",Customer Service {Voice-Process},"
Respond to customer queries in a timely and accurate way, via phone calls.
Handle Customers on chat/email in professional manner.
",https://in.indeed.com/company/Tech-Mahindra/jobs/Customer-Service-7a5f68c73c809841?fccid=97299926ef79b544&vjs=3,PostedPosted 23 days ago
504,Rosentiques,"Mumbai, Maharashtra","?15,000 - ?45,000 a month",Punjabi translator,"
Read through original material and rewrite it in the target language, ensuring that the meaning of the source text is retained.
Total work: 1 year (Required).
",https://in.indeed.com/company/Rosentiques/jobs/Punjabi-Translator-1db9af036396f79e?fccid=2ef6be8564052eac&vjs=3,EmployerActive 4 days ago
505,kingcraft restaurants private limited,"Mumbai, Maharashtra","?18,000 - ?22,000 a month",Restaurant Captain,"
Job Types: Full-time, Regular / Permanent.
Mumbai Suburban, Maharashtra: Reliably commute or planning to relocate before starting work (Required).
",https://in.indeed.com/company/kingcraft-restaurants-private-limited/jobs/Restaurant-Captain-0aef4dfad21c43d9?fccid=a4ac6ff3ac4fe1af&vjs=3,PostedPosted 2 days ago
506,YTPS HR Services,"Santacruz, Mumbai, Maharashtra","?25,000 - ?30,000 a month",Payroll Executive,"
Ensure the business processes are being handled as per SLA and being adhered.
Deliver Value addition to the client and ensure there is no scope for penalties…
",https://in.indeed.com/company/YTPS-HR-Services/jobs/Payroll-Executive-7e6c2453539d1b0e?fccid=bcac9bb4fe00c8d5&vjs=3,EmployerActive 4 days ago
507,SolutionInn,"Mumbai, Maharashtra","?1,00,000 - ?2,00,000 a month",Content Contributor - Share Study Documents,"
Hence, as a contributor, you can use the Sell docs feature which is available on Expert Dashboard to share your data.
Part-time hours: 20 per week.
",https://in.indeed.com/company/SolutionInn/jobs/Content-Contributor-ccb2efc91a57d152?fccid=0b5367baff7d5583&vjs=3,PostedPosted 30+ days ago
508,Teva Pharmaceuticals,"Navi Mumbai, Maharashtra",N/A,Medical Writing Associate I,"
Prepare CSR, appendices and other relevant documents (bio summary tables, module 2.7, CS-BE etc.).
As per the regulatory/sponsor requirements in the required…
",https://in.indeed.com/rc/clk?jk=514e4fdeb4b48006&fccid=898362c5e54ec4c7&vjs=3,PostedPosted 17 days ago
509,Energy Tech firm - Ellume Technology Pvt Ltd,"Mumbai, Maharashtra","Up to ?50,000 a month",Inside Sales Representative,"
Work in close coordination with Leadership team to develop business across the Globe.
Conducting Market Research, competitor analysis, developing or generating…
",https://in.indeed.com/company/Energy-Tech-firm---Ellume-Technology-Pvt-Ltd/jobs/Inside-Sales-Representative-694ed65dcc6fc68b?fccid=3fe0e9f222bb2d5d&vjs=3,PostedPosted 4 days ago
510,Canwarp Online,"Ghatkopar, Mumbai, Maharashtra+1 location","?28,000 - ?50,000 a month",Admission Counselor,"
Advising planned understudies and directing them about the various courses advertised.
Advising through Information Calling, on the web.
",https://in.indeed.com/company/Canwarp-Online/jobs/Admission-Counselor-793847c84eae7e8a?fccid=4f32bb991e2a986d&vjs=3,PostedJust posted
511,Deloitte,"Mumbai, Maharashtra",N/A,Risk Advisory- A & IC- Internal Audit Chennai,"
Ability to set the stage for a successful assessment of client’s internal audit processes and.
Ability to form a core Extended Enterprise Risk Management (EERM)…
",https://in.indeed.com/rc/clk?jk=7314e5514b558898&fccid=9e215d88a6b33622&vjs=3,PostedPosted 9 days ago
512,Sone India Group of Industries,"Mumbai, Maharashtra","Up to ?5,00,000 a year",Field sales,"
Job Types: Full-time, Regular / Permanent.
Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required).
",https://in.indeed.com/company/Sone-India-Group-of-Industries/jobs/Field-Sales-99bd5b2176a9343c?fccid=99d49833e0323737&vjs=3,PostedPosted 14 days ago
513,CHANAKYA INTERNATIONAL,"Mumbai, Maharashtra","?30,000 - ?50,000 a month",Quality Assurance,"
Candidate must have exposure to work in *High fashion quality women garment *with Knowledge of embroidery techniques & materials.
",https://in.indeed.com/company/CHANAKYA-INTERNATIONAL/jobs/Quality-Assurance-e3355172f6306481?fccid=6a7b2879ec81b25e&vjs=3,EmployerActive 4 days ago
514,Renao Hospitality LLP,"Mumbai, Maharashtra","?18,000 - ?25,000 a month",Restaurant Captain,"
The purpose of the position of Captain is to *serve food and beverages to guests in a timely, courteous, efficient and accurate manner*.
",https://in.indeed.com/company/Tiff--e--licious/jobs/Restaurant-Captain-054e3e8d35c7758f?fccid=31ee6e231bc1b186&vjs=3,EmployerActive 3 days ago
515,Maersk,"Mumbai, Maharashtra",N/A,Able bodied seaman-Container,"
You will also have the chance to influence and optimize efficiency and procedures in line with increasing empowerment of our vessels.
",https://in.indeed.com/rc/clk?jk=55dc42769cd6861c&fccid=14e7391c55beeb80&vjs=3,PostedPosted 30+ days ago
516,Vertoz,"Mumbai, Maharashtra","?5,000 - ?7,000 a week",Quality Assurance - Intern,"
Plan the program/project based on a defined need results in detailed scope/budget/schedule baseline.
We are looking out for only Male candidates who have…
",https://in.indeed.com/rc/clk?jk=dae86457cd48713a&fccid=67cff2395e488d45&vjs=3,PostedPosted 1 day ago
517,Yellow Umbrella Services Pvt Ltd,"Mumbai, Maharashtra","From ?12,000 a month",Telecaller,"
Make calls to generate sales and leads for the company.
Should be willing to focus on monthly targets.
Job Types: Full-time, Regular / Permanent, Fresher.
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS6rdGBRrFP-JUwEb2AvRv2Gx0gQdF_YjE1WrgYY8Zj6w6DngokmL_K47iNkCBRVJgb5TQRg5gkHY4uw06AUPvZ7rgFc44OovLoCcCdkAtHy8u_KmRaUYaZ_NzmzbdG11_oLhihgvAwLX4Mfb2VkFQDpkntJvIPMw5wFGrDT5MvpKiZdts-RJJ0NStz_qD8n3f__oIkCXGRh7r-7RNrR4N-PvKHR9dKR6Vi4Hl5csXrJdunOqSSqTlEXJHb4kErZ9eDkzqy5PdYG69jujYyZfNTiLRZXEDC-APBsRGxGGcaBG6EC0SAUawhSDFwjKdQBBJJl5V0MrhjbxcQ7X_0d2u6c_NTTI0G3mA16PN-zAk81PwoLS2ar7eOq-2lkmyhp2gbtg1H39Ey3dKWTVsQCIkEV7iUAgGInEUHgMDGX5C5qEspdbFN2dqAr23P_-Ie06yIKWsqaRRE5QXhUTuuY7ir41caXhdarDmQ9yECtpy5A==&xkcb=SoBn-_M3Tv9NF8X1NR0PbzkdCdPP&p=4&fvj=1&vjs=3,Hiring ongoing
518,United Way Mumbai,"Mumbai, Maharashtra","?30,000 a month",Community Outreach Worker,"
Candidate must be a team player willing to travel to implement program activities.
Create a specific plan for the execution of project activities on weekly…
",https://in.indeed.com/rc/clk?jk=d91898be7a3cd4d3&fccid=475449500ecde065&vjs=3,PostedPosted 16 days ago
519,Elgiva Business Solutions,"Mumbai, Maharashtra","Up to ?50,000 a month",Claims Officer,"
Looking for someone who has good knowledge of processing any kind of insurance claims.
Job Types: Full-time, Regular / Permanent.
",https://in.indeed.com/company/Elgiva-Business-Solutions/jobs/Claim-Officer-5132587a9338999b?fccid=7d119172616778fe&vjs=3,PostedPosted 2 days ago
520,Bafna and Associates Advocates and Solicitors,"Mumbai, Maharashtra","From ?50,000 a month",SNR ADVOCATE,"
WE ARE SEARCHING FOR SNR ADVOCATES WHO HAVE 4 TO 7 YEARS OF EXPERIENCE IN THIS FIELD.
DRAFTING KNOWLEDGE SHOULD BE EXCELLENT.
Total work: 1 year (Preferred).
",https://in.indeed.com/company/Bafna-and-Associates-Advocates-and-Solicitors/jobs/Snr-Advocate-f1ae0a0868d0c521?fccid=c25591a43eee2b73&vjs=3,EmployerActive 3 days ago
521,The Sahil Hotel 292 Bellasis Road Mumbai Central...,"Mumbai, Maharashtra","?18,000 - ?25,000 a month",Food and Beverage Hostess,"
Responds to guest inquiries and requests in a timely, friendly, and efficient manner.
The F&B hostess is responsible for greeting guests as they arrive,…
",https://in.indeed.com/company/The-Sahil-Hotel-292-Bellasis-Road-Mumbai-Central-East/jobs/Food-Beverage-Hostess-188b16bf5ed0b6eb?fccid=6e69f02d3ae937d8&vjs=3,EmployerActive 2 days ago
522,Future Nation Film's,"Mumbai, Maharashtra","Up to ?15,000 a day",modeling,"
Retopologizing a scan model to pipeline quad mesh.
Creating cameras and lining up to reference using scan data.
Shape and details to partial or full camera.
",https://in.indeed.com/company/Future-Nation-Film's/jobs/Modeling-529e771f54f8c314?fccid=2bd65c0cc3a46f9f&vjs=3,PostedPosted 30+ days ago
523,The Catalog Bazar,"Mumbai, Maharashtra","?18,000 - ?25,000 a month",Photographer,"
Ability to execute targeted photoshoots in a set time.
Photography & Videography (Canon DSLR hands-on preferred).
",https://in.indeed.com/company/The-Catalog-Bazar/jobs/Photographer-4ff3849b81b70444?fccid=a6477a2496a161c0&vjs=3,EmployerActive 2 days ago
524,Accenture,"Mumbai, Maharashtra",N/A,New Associate-Digital Marketing,"
You will be working as a part of the Digital Marketing team to understand and help clients market their products or services using digital technologies, mainly…
",https://in.indeed.com/rc/clk?jk=5fb58f6d3a8a666a&fccid=a4e4e2eaf26690c9&vjs=3,PostedPosted 30+ days ago
525,Ansurkar Innovations Private Limited,"Mumbai, Maharashtra","?2,00,000 - ?4,00,000 a year",Data Visualization Expert,"
Advise teams on data visualisation best practices in data analysis, information display and UI/UX design.
Support the work of data engineers, data scientists…
",https://in.indeed.com/company/Ansurkar-Innovations-Private-Limited/jobs/Data-Visualization-Expert-ec99a79a536dfb3a?fccid=5d5862eb872206ae&vjs=3,EmployerActive 2 days ago
526,Angel And Genie,"Mumbai, Maharashtra","?4,00,000 - ?5,00,000 a year",B COM Freshers,"
Review and correlate cash on a daily basis.
Actively service accounts to a high standard and within deadlines.
They are into general insurance and reinsurance.
",https://in.indeed.com/rc/clk?jk=44f5fe765a7c0e2c&fccid=6fda1368094926b1&vjs=3,PostedPosted 10 days ago
527,Hdfc Sales Pvt Ltd.,"Mumbai, Maharashtra","?25,648 - ?50,568 a month",Sales Trainer,"
Responsible for identifying training needs from different departments by meeting the stake holders and using reports.
Total work: 1 year (Preferred).
",https://in.indeed.com/company/HDFC-Bank/jobs/Sales-Trainer-609d5d848f77caa7?fccid=a6fab41a2a4262c5&vjs=3,EmployerActive 9 days ago
528,Mayuri Kum Kum,"Lower Parel, Mumbai, Maharashtra","?25,000 - ?60,000 a month",Personal Assistant,"
Our company is searching for a Personal Assistant who can assist the Director & administrative staff and help improve productivity.
",https://in.indeed.com/company/Mayuri-Kum-Kum/jobs/Personal-Assistant-9116a21a0195debd?fccid=19b8ae4d514fbf5f&vjs=3,PostedPosted 30+ days ago
529,PERMESHWAR FASHION IMPEX PVT LTD,"Mumbai, Maharashtra","?35,000 - ?50,000 a month",Garment Technician,"
Where factory has a computer aided design (CAD) systems, a technician, draft manual pattern into a CAD system, develop patterns on a computer.
",https://in.indeed.com/company/PERMESHWAR-FASHION-IMPEX-PVT-LTD/jobs/Garment-Technician-bd8bb79d5f5f0df9?fccid=7f15f0482266a4ba&vjs=3,EmployerActive 2 days ago
530,Bo-Chem Pvt. Ltd.,"Mumbai, Maharashtra","?20,000 - ?30,000 a month",Export Executive,"
Logistics Movement of Goods from Factory/Warehouse to CFS.
Coordination with CHA for Sea/Air Shipments.
Preparation of LC documents for collection through Bank.
",https://in.indeed.com/company/Bo--Chem-Pvt.-Ltd./jobs/Export-Executive-7d333eeadadbca4a?fccid=e461db952a16bddf&vjs=3,EmployerActive 8 days ago
531,Opt4Solution Private Limited,"Mumbai, Maharashtra+1 location","?1,20,000 - ?4,00,000 a year",Customer Care Representative,"
Experience or Fresher both can apply.
*Kandivali, Thane, Kanjur Marg,Airoli,Malad ,Vashi *.
Higher Secondary(12th Pass) (Required).
",https://in.indeed.com/company/Opt4Solution-Private-Limited/jobs/Customer-Care-Representative-03d07bccb64abbf5?fccid=74682141d03e6b0d&vjs=3,PostedToday
532,Flomic Global,"Thane, Maharashtra","?9,339 - ?30,593 a month",Sales Executive,"
To promote services of International freight forwarding services & Custom clearance.
To tap new prospective clients & generate business.
",https://in.indeed.com/company/Flomic-Global/jobs/Sales-Executive-708059931912f685?fccid=68df2600d3f9610b&vjs=3,PostedJust posted
533,Creative Ideas,"Mumbai, Maharashtra","?20,570 - ?70,000 a month",Founder's office (business),"
The candidate will be responsible for,.
Excellent know-how of how to use Excel, power point, word.
Knows how to write reports, minutes, and do analysis.
",https://in.indeed.com/company/Creative-Ideas/jobs/Founder-Office-6514c93c37549592?fccid=14f5df6df1f86837&vjs=3,EmployerActive 2 days ago
534,UDC Diagnostics Pvt. Ltd,"Navi Mumbai, Maharashtra","?18,958 - ?72,924 a month",Medical Officer,"
Re-checking a patient's records and medical chart to be sure all necessary precautions are made.
*Experience :* 1 year or Fresher.
",https://in.indeed.com/company/UDC-Diagnostics-Pvt.-Ltd/jobs/Medical-Officer-870071581e5bede4?fccid=d60f6a22f4172474&vjs=3,EmployerActive 1 day ago
535,V Trans India Ltd,"Mumbai, Maharashtra","?15,000 - ?20,000 a month",Asst. Operation (Tracking/CCTV/Survilence),"
Mumbai - 400071, Maharashtra: Reliably commute or planning to relocate before starting work (Required).
Higher Secondary(12th Pass) (Preferred).
",https://in.indeed.com/company/vtrans-india/jobs/Assistant-Operation-328709910fb7929c?fccid=fd10b51f60a88c20&vjs=3,PostedPosted 9 days ago
536,Modus Global Business Transformation,"Mumbai, Maharashtra","?30,000 - ?75,000 a month",Event Host/Hostess,"
Organise business meetings, business events and client dinners.
Research and book best possible cost and offers on various event.
",https://in.indeed.com/company/Retail2Customer-Consulting/jobs/Event-Host-Hostess-ea68f2216d6410d3?fccid=4caf634ed1160e04&vjs=3,PostedPosted 1 day ago
537,Akbar Offshore,"Mumbai, Maharashtra",N/A,Visa Processing Executive [Exp: 2,"
Must have previous experience of processing a worldwide range of visas for a wide range of embassies & consulates preferred.
",https://in.indeed.com/rc/clk?jk=674d9fc581842c0c&fccid=480ef2abcdf6ee11&vjs=3,PostedPosted 30+ days ago
538,Lodha & Lodha Advocates,"Fort, Mumbai, Maharashtra","?15,000 - ?20,000 a month",Associate,"
Post sanad: 1 year (Required).
Drafting and Appearance post sanad: 1 year (Required).
",https://in.indeed.com/company/Lodha-and-Lodha-Advocates/jobs/Associate-2d617979116f6f4f?fccid=1167f8808e284110&vjs=3,PostedPosted 30+ days ago
539,CaratLane Trading Private Limited,"Mumbai, Maharashtra","?4,00,000 - ?5,00,000 a year",MIS Executive,"
3 years of experience in a similar role.
Candidate should be Logical Thinking.
To develop and maintain reports for the Sourcing & Manufacturing Team.
",https://in.indeed.com/company/CaratLane-Trading-Private-Limited/jobs/Mis-Executive-5fc434fde3e5dcc1?fccid=c530dc6c826814a9&vjs=3,PostedPosted 30+ days ago
540,SolutionInn,"Mumbai, Maharashtra","?1,00,000 - ?2,00,000 a month",Content Contributor,"
Job Types: Part-time, Contractual / Temporary, Freelance, Fresher.
Part-time hours: 20 per week.
",https://in.indeed.com/company/SolutionInn/jobs/Content-Contributor-aba7a79d0c2df1cd?fccid=0b5367baff7d5583&vjs=3,PostedPosted 30+ days ago
541,NOVO Medi Science,"Mumbai, Maharashtra","?3,00,000 - ?5,00,000 a year",MIS Executive,"
Preparing Sales Report on regular basis (Primary/ Secondary Sales Report).
Generating Sales Data from CBO.
Preparing Monthly Actual Net Sale Report.
",https://in.indeed.com/company/NOVO-medi-science/jobs/Mis-Executive-3a703753727e1524?fccid=29fbb8a9a4fd2a5a&vjs=3,EmployerActive 1 day ago
542,The CFO Centre (India),"Mumbai, Maharashtra","?25,000 - ?30,000 a month",Executive Assistant to CEO,"
While sufficient guidance and support will be provided at every step, the individual must be a self-motivated and disciplined worker.
Managing the CEO’s inbox.
",https://in.indeed.com/company/CFO-Centre-India/jobs/Executive-Assistant-CEO-974e8994d13d8d11?fccid=0a0b4930fc087551&vjs=3,EmployerActive 1 day ago
543,Yellow Umbrella Services Pvt Ltd,"Mumbai, Maharashtra","From ?12,000 a month",Telecaller,"
Make calls to generate sales and leads for the company.
Should be willing to focus on monthly targets.
Job Types: Full-time, Regular / Permanent, Fresher.
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS6rdGBRrFP-JUwEb2AvRv2Gx0gQdF_YjE1WrgYY8Zj6w6DngokmL_K47iNkCBRVJgb5TQRg5gkHY4uw06AUPvZ7rgFc44OovLoCcCdkAtHy8u_KmRaUYaZ_NzmzbdG11_oLhihgvAwLX4Mfb2VkFQDpkntJvIPMw5wFGrDT5MvvfpppFQonJrWMuwNIjraeE8zl_OYuk2BjLRxnP1-Cp5F-MDib73jAoWBAERNIqRpTGJQxyYr2vsejF29WCCNnaiizyRk8Dpt6bJMNKLhpYgUezRns73AFsrThvRdq2mUhSCGR_t8Bak-Fssa5AmzFgtGKiL7A3x5-dtV2wU-QdWcUThMB1WOPxpkWESHFIIGRyacEPn1QUk9Ylxa8-rJQDg1dtIGI-XS9-PR9UyfiCtJFoS0dCtrN3HAw0zO7q0CyWTA_NAzInnVI_MwJqiW2041i8nhn81Z5IbdR8iHzxeZVW9fNo68gQ9DefoZgQVVA==&xkcb=SoB--_M3Tv9MknwHCx0IbzkdCdPP&p=3&fvj=1&vjs=3,Hiring ongoing
544,Steno House,"Mumbai, Maharashtra","?5,00,000 - ?10,00,000 a year","Front Office Executive- Mumbai, BKC","
Mumbai (All Areas) ( Bandra Kurla Complex).
Employment Type:Full Time, Permanent.
Administrationfront desk cum adminFront OfficeReceptionist ActivitiesFront…
",https://in.indeed.com/rc/clk?jk=2c74b84c92da5671&fccid=a5880c1a396a1856&vjs=3,PostedPosted 3 days ago
545,Coral Bling Services Private Limited,"Mumbai, Maharashtra","?20,000 - ?30,000 a month",International collection process,"
Process - US based collection process( Night shift ).
Job Types: Fresher, Regular / Permanent.
Mumbai, Maharashtra: Reliably commute or planning to relocate…
",https://in.indeed.com/company/Coral-Bling-Services-Private-Limited/jobs/International-Collection-Process-348b6c77727c1788?fccid=c2e70c2147890ee6&vjs=3,EmployerActive 4 days ago
546,TBIL,"Thane, Maharashtra","?12,000 - ?30,000 a month",Freshers Female,"
Age group 18 to 30.
Candidates experienced in the same sector preferred.
Job Types: Full-time, Regular / Permanent, Fresher.
Total work: 1 year (Preferred).
",https://in.indeed.com/company/Near-Narayana-E-Techno-School/jobs/Fresher-Female-5848cba47df3dd3f?fccid=f3d5a6c6c87c1c2b&vjs=3,EmployerActive 1 day ago
547,CRC INSURANCE BROKER PRIVATE LIMITED,"Marol, Mumbai, Maharashtra",N/A,Operations and Services,"
? Excellent interpersonal skills with a full understanding of insurance ? Strong statistical knowledge.
Providing mentorship to direct reports, comprised of…
",https://in.indeed.com/company/CRC-INSURANCE-BROKER-PRIVATE-LIMITED/jobs/Operation-Service-ad71e001c2bb3672?fccid=cee64e8d86cb0e45&vjs=3,EmployerActive 8 days ago
548,Vardhman Hallmarking Center LLP,"Mumbai, Maharashtra","?10,000 - ?15,000 a month",Lab Assistant,"
Job Description This individual at work tests the gold alloy metal or jewellery through various assaying processes and stamps the hallmark.
",https://in.indeed.com/company/Vardhman-Hallmarking-Center-LLP/jobs/Lab-Assistant-5599414e584c2ca6?fccid=3969eddfa4ba1653&vjs=3,PostedJust posted
549,Nyassa Retail Pvt Ltd.,"Mumbai, Maharashtra","?4,20,000 - ?6,00,000 a year",Retail Supervisor for growing Personal Care Brand,"
To be a polite and customer centric sales personality.
Responsible for achieving sales target of retail, monthly & quarterly.
",https://in.indeed.com/company/Nyassa-Retail/jobs/Retail-Supervisor-Growing-Personal-Care-Brand-47fad16a6b886f43?fccid=ff21af82cc760eb9&vjs=3,PostedPosted 30+ days ago
550,Pepper Content,"Remote in Mumbai, Maharashtra","?1,000 - ?1,200 a day",Content Writer - BFSI,"
First there is a MCQ based Language ability Test.
The ability to interpret and work on a client brief.
Ability to manage a tight schedule without compromising…
",https://in.indeed.com/company/Pepper-Content/jobs/Content-Writer-0f1c0a32b010a01b?fccid=ca9d73745d17556e&vjs=3,PostedPosted 1 day ago
551,Hospertz India Pvt Ltd,"Mumbai, Maharashtra","?2,50,000 - ?3,00,000 a month",Telesales Executive,"
Connect with potential clients and obtain information regarding their requirement.
Candidate should perform script (with necessary adjustments) to ensure…
",https://in.indeed.com/company/Qualitas-Diagnostics/jobs/Telesale-Executive-4ee38587a2022ee5?fccid=d03ee3d818ca66b7&vjs=3,PostedJust posted
552,HDFC Bank,"Remote in Mumbai, Maharashtra",N/A,Virtual Care-Officer Service Assessment - Mumbai,"
Escalation handling & Query handling on the floor.
1st level escalation call handling and 100% accurate resolution on Calls received at the PhoneBanking during…
",https://in.indeed.com/rc/clk?jk=6d2edda8b1c108ef&fccid=a6fab41a2a4262c5&vjs=3,PostedPosted 24 days ago
553,DBS Bank,"Andheri, Mumbai, Maharashtra",N/A,Customer Service Officer,"
Contribute to efficient operation of the branch through accurate & timely processing of customer related transactions and account maintenance.
",https://in.indeed.com/rc/clk?jk=c5d7abb532d6c678&fccid=cc1f9ea511d140fe&vjs=3,PostedPosted 16 days ago
554,Teva Pharmaceuticals,"Navi Mumbai, Maharashtra",N/A,Medical Writing Associate I,"
Prepare CSR, appendices and other relevant documents (bio summary tables, module 2.7, CS-BE etc.).
As per the regulatory/sponsor requirements in the required…
",https://in.indeed.com/rc/clk?jk=514e4fdeb4b48006&fccid=898362c5e54ec4c7&vjs=3,PostedPosted 17 days ago
555,Onesource Atreus,"Remote in Mumbai, Maharashtra","?15,000 - ?40,833 a month",International Sales Executive,"
Week offs - Sat & Sun Fixed Off.
Requirements - HSC or GRADUATE With Min 2- 3 years of International Sales Experience Into BPO.
",https://in.indeed.com/company/Onesource-Atreus/jobs/International-Sales-Executive-961a4cda1983f5f7?fccid=7382dff1cdc119a2&vjs=3,EmployerActive 2 days ago
556,Ultra Media & Entertainment Pvt. Ltd,"Mumbai, Maharashtra","Up to ?35,000 a month",Executive Assistant to CEO,"
To provide administrative services including diary management, organizing internal and external meetings, planning events and teleconferences, organizing travel…
",https://in.indeed.com/company/Ultra-Media-Entertainment-Pvt-Ltd/jobs/Executive-Assistant-CEO-31463025924379f0?fccid=784c96c8079b258f&vjs=3,EmployerActive 2 days ago
557,Wehire Talent Solutions,"Mumbai, Maharashtra","?15,000 - ?25,000 a month",bpo voice process,"
Process - Hotel industry voice customer service.
5 DAYS WORKING 2 ROTATIONAL OFF.
HSC + 6 MONTH EXP OR GRAD FRESHER /EXP.
Salary - upto 26k in-hand.
",https://in.indeed.com/company/Wehire-Talent-Solutions/jobs/Bpo-Voice-Process-81f4c2e6c333bf65?fccid=86f660906706b5b8&vjs=3,EmployerActive 3 days ago
558,STEMZ HEALTHCARE,"Mumbai, Maharashtra","?15,000 - ?25,000 a month",Lab Technician - Mumbai,"
Minimum 2 years’ experience as a Lab Technician/technologist.
Profession practice permission issued from MOH/healthcare authority in the country is a must.
",https://in.indeed.com/company/Stemz-Healthcare/jobs/Lab-Technician-ecd0af1c499fa8c9?fccid=d911d02e408fa941&vjs=3,PostedPosted 4 days ago
559,Global Industrial,"Remote in Mumbai, Maharashtra",N/A,Customer Service Representative,"
Conversational, patient and confident demeanor with a positive attitude.
This is a combination work from home and in office position.
",https://in.indeed.com/rc/clk?jk=09afb0dc8d698771&fccid=12ceb7af3aadea5c&vjs=3,PostedPosted 6 days ago
560,Vee Track,"Remote in Mumbai, Maharashtra",N/A,Language Tracker,"
Into English and provides a detailed summary in an excel grid.
Language Tracker reads and tracks the news in regional languages.
",https://in.indeed.com/rc/clk?jk=6f598d7561b37411&fccid=92ff06808dccafe1&vjs=3,PostedPosted 30+ days ago
561,That's my Job,"Mumbai, Maharashtra","?2,00,000 - ?9,00,000 a year",Urgent requirement for Receptionist post in Mumbai.,"
Greet and welcome guests as soon as they arrive at the office.
Direct visitors to the appropriate person and office.
Job Types: Full-time, Regular / Permanent.
",https://in.indeed.com/company/That's-My-Job./jobs/Requirement-Receptionist-Post-a34de3b211114d0d?fccid=18e2f9fd58f51fc0&vjs=3,PostedPosted 3 days ago
562,OZiva,"Mumbai, Maharashtra","?8,00,000 - ?12,00,000 a year",Copywriter,"
Should be creative and have a strong sense of design aesthetics.
OZiva, a D2C wellness brand, is a plant-based clean nutrition brand that offers fitness, hair,…
",https://in.indeed.com/company/Seikor/jobs/Copywriter-a60a60b6b8693223?fccid=796e105304c5c346&vjs=3,PostedPosted 30+ days ago
563,Designo Ceramic studio,"Kharghar, Navi Mumbai, Maharashtra","?25,000 - ?50,000 a month",Sales Executive in tiles showroom,"
Looking for sales executive for sales of tiles and sanitaryware.
",https://in.indeed.com/company/Designo-Ceramic-studio/jobs/Sales-Executive-Tile-Showroom-7a0d55d8899ee448?fccid=3da3e5843c8b7fe6&vjs=3,PostedPosted 30+ days ago
564,Geenab Infra,"Remote in Mumbai, Maharashtra","?12,000 - ?20,000 a month",Office Work,"
Basic knowledge of excel.
Basic knowledge of accounting.
Can handle digital marketing work.
Graduate Require with fluent in English.
",https://in.indeed.com/company/Geenab-Infra/jobs/Office-Work-bdf97050ac985c6a?fccid=a4b3426472ee96b9&vjs=3,EmployerActive 2 days ago
565,One Life Home Healthcare Pvt Ltd ( A Tattva Group...,"Mumbai, Maharashtra","From ?1,500 an hour",Medical Officer,"
MBBS or higher degree from a recognized medical school.
Job Summary: We are seeking a highly qualified Medical Officer with an MBBS or higher degree to provide…
",https://in.indeed.com/company/One-Life-Home-Healthcare-Pvt-Ltd-(-A-Tattva-Group-Company)/jobs/Medical-Officer-d4d8aa3d33f208b8?fccid=7355e5740795e9b6&vjs=3,EmployerActive 3 days ago
