,Company Name,Location,Expected Salary,Job Title,Description About the Job,Link,Date Posted/Active
22,Know your ability,"Mumbai, Maharashtra","?35,000 - ?50,000 a month",Relationship Executive Salary in hand 50k + 7Lpa variable |Mumbai | Female,"
Building and maintaining a healthy Professional relationship.
The Business Development Specialist responsibilities include generating lead and meeting with the…
",https://in.indeed.com/company/Know-your-ability/jobs/Relationship-Executive-Salary-Hand-Variable-Female-ed02411eb75faf2f?fccid=b9d9e1afddc782c8&vjs=3,EmployerActive 3 days ago
23,Futurz,"Remote in Mumbai, Maharashtra","?20,000 - ?24,000 a month",Customer Service Executive- WFH & WFO,"
Job Types: Full-time, Regular / Permanent, Fresher.
Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required).
",https://in.indeed.com/company/Futurz/jobs/Customer-Service-Executive-673bda335d3c15e4?fccid=8dff1fde8aaa0e3a&vjs=3,PostedPosted 7 days ago
24,Vardhman Textiles Limited,"Andheri, Mumbai, Maharashtra","?25,000 - ?30,000 a month",chat process,"
Any graduate or undergraduate can apply.
1 year experience in international bpo, Excellent communication skills.
Job Types: Full-time, Regular / Permanent.
",https://in.indeed.com/company/Vardhman-Textiles-Limited/jobs/Chat-Process-024d7da1a7a4ae50?fccid=1c6fb781217e88e4&vjs=3,PostedPosted 1 day ago
25,Cretso Pvt. Ltd,"Mumbai, Maharashtra","?10,000 - ?25,000 a month",Casting Producer,"
Coordinating with other teams during the production days.
Job Types: Full-time, Regular / Permanent, Internship, Fresher.
",https://in.indeed.com/company/Cretso-Pvt.-Ltd/jobs/Casting-Producer-0a7c09951152317f?fccid=9ef26f842e1c5626&vjs=3,PostedPosted 30+ days ago
26,Acme Services,"Remote in Mumbai, Maharashtra","?3,00,000 - ?5,00,000 a year",Accounts Executive,"
Qualification: Any graduate/Ca pursuing/Ca inter.
Working with international accounting firms to ensure all monthly ,quarterly and annual compliance deadlines…
",https://in.indeed.com/company/Acme-Services/jobs/Account-Executive-d8331c8b10f5e58f?fccid=5bb70f6dd438d429&vjs=3,PostedPosted 2 days ago
27,Kotak Mahindra,"Mumbai, Maharashtra",N/A,Team Member - MIS - PERSONAL LOANS- MIS - KMBL,"
Publishing SOH & Foreclosure locationwise Actual Vs Budget to Business.
Preparation of Expense provision file.
Preparation of LAP TL payout file.
",https://in.indeed.com/rc/clk?jk=829e9b0d6157e467&fccid=39db4225436c86bc&vjs=3,PostedJust posted
28,Navnit Motors Pvt Ltd,"Mumbai, Maharashtra","?35,000 - ?45,000 a month",Service Advisor BMW,"
Helps identify a mechanical problem by questioning the customer or doing a visual inspection or road test.
Implements and maintains a service marketing program.
",https://in.indeed.com/company/Navnit-Motors-Pvt-Ltd/jobs/Service-Advisor-BMW-bc02423b0855f2c1?fccid=d26ca4f61fe5e0b4&vjs=3,PostedPosted 2 days ago
29,Empric Outsourcing Pvt Ltd,"Mumbai, Maharashtra","?12,000 - ?18,000 a month",Data Entry,"
We are looking typing speed for 40WPM.
Candidate should have knowledge to operate computer.
The candidate should have basic English communication skills.
",https://in.indeed.com/company/Empric-Outsourcing-Pvt-Ltd/jobs/Data-Entry-170591543ddaf83b?fccid=a9941ac6a1129c24&vjs=3,PostedPosted 2 days ago
30,PVR Enterprise,"Mumbai, Maharashtra","Up to ?65,000 a month",Personal Secretary,"
Greet visitors and direct them to the appropriate departments or individuals.
Respond to queries in person, via telephone or email.
",https://in.indeed.com/company/PVR-Enterprise/jobs/Personal-Secretary-aba9e4ff384a0b3b?fccid=92ac7ffec31567f2&vjs=3,EmployerActive 4 days ago
31,Planet Spark,"Remote in Mumbai, Maharashtra",N/A,Online Teaching: English Tutor with Bachelor's,"
Availability of Wi-Fi and a Laptop/PC with a Webcam.
Willing to work 6 days a week.
Spoken English trainers and IELTS trainers could be a good fit.
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DjzuOW5uSTH-pB5KzM6mVb8x6CraFrXapM6FXbCWQJ6xZWDEEU7faMT-oP1X70OVUAKeyrqBvQAAfB5DeS6EcS0mdbNJGp37AIszZFbjSyloSvAVWJdYnwpLHqaavfiZXusWE8D0lxDQ82Po5MKjDX7o9zkfR-s5HgL2Rp8SQ56I4dfPyqzopG1bS-mxBqTZMbYLWLNYRm5Kt26YpFWw7ZfC76MZuO77LOR9C-qRIGd1-0CRStwPcW5PDNuhvAVAxRxgb1opRlZf2HOLMZPymBS5Ak4BNZvybEZ2nGZ2FjG1ctAaSa63ybQNTkTbqNmkIKy2CKhFVuE2VpIt-MZgMuW3RJTaKr3kacpVWhM0UgvTAu57l7TFh30owTrqUMZCIGSbkUUgZUL-R-dzFXEcTLb3rMQgxEUqmeQvYPXp7FqK8dqdTGACcx1Kua_Wwvc8WmP8dzS4FNhFhU1rJJ7RKRmm_nFurirbOq_G8uESiQOLvtRwVdnioHVFb9BJORcNMX8MphQwKFjH2TepD6t45SxjRvd1CFk5QXKAKuDarO0GjhRYL_2KKc25BrmSodwLWLWtfFgtLUjA==&xkcb=SoDZ-_M3Tv82xcQHAB0LbzkdCdPP&p=13&fvj=1&vjs=3,Hiring ongoing
32,Gujarat Cooperative Milk Marketing Federation,"Mumbai, Maharashtra","?4,50,000 - ?6,00,000 a year",Assistant (Administration)-Mumbai,"
The candidate should be responsible for providing administrative support to ensure efficient operation of office.
",https://in.indeed.com/rc/clk?jk=092ad8bb9907d680&fccid=2ae288fe9bf2fc64&vjs=3,PostedPosted 3 days ago
33,Planet Spark,"Remote in Mumbai, Maharashtra",N/A,Online Teaching: English Tutor with Bachelor's,"
Availability of Wi-Fi and a Laptop/PC with a Webcam.
Willing to work 6 days a week.
Spoken English trainers and IELTS trainers could be a good fit.
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DjzuOW5uSTH-pB5KzM6mVb8x6CraFrXapM6FXbCWQJ6xZWDEEU7faMT-oP1X70OVUAKeyrqBvQAAfB5DeS6EcS0mdbNJGp37AIszZFbjSyloSvAVWJdYnwpLHqaavfiZXusWE8D0lxDQ82Po5MKjDX7o9zkfR-s5HgL2Rp8SQ56I4dfPyqzopGvCC0929zlYRDUmz2ghERk8_XOtSVSHcIykvG_JxrDNoCAB-pzpfgRiXIKWBRXZBMxfVUcDyK0-n0pABL1-lnBy9pw1RIWQK69gQYKkNI44pip1M_8B_tZ6a5Jg2ua2XvhhCfM1c6CyL-k-1noiugcocB4VMrkRcUnAVI2pDaRNml2LiZTZkMdPLTV7wIVDmdzhEzRMriTmt8e1ue5-2o6ipVMyJPecfoflg3rOd2i0WJVe73MnMPv26gaup5x_LQZRjdr3d1isgx6i8TTcTERj3RdSG-WPHi1Or6KCmo-w4Bzm7EUWHBNm3ZaApXvzEKSmw4SQg8uHVhSynizWlpu7DBPs7mwTnbQIMkk9a9nPOFehpGaTvlbhC3Yduc8klRRbkgEYBpggOG_h9AwbKTxg==&xkcb=SoAP-_M3Tv82gLRGjB0LbzkdCdPP&p=0&fvj=1&vjs=3,Hiring ongoing
34,Gamersroof Technologies Pvt Ltd,"Remote in Mumbai, Maharashtra","?25,000 - ?30,000 a month",Game Artist,"
Who can create exiting game / cinematic worlds in game engine.
Design stunning levels in Unreal and Unity 3D Engine.
Lineup renders using Da Vinci resolve.
",https://in.indeed.com/company/Gamersroof-Technologies-Pvt-Ltd/jobs/Game-Artist-004848f4a4fed048?fccid=1366c0b587013245&vjs=3,PostedToday
35,Walking Tree Ventures,"Mumbai, Maharashtra","Up to ?5,00,000 a year",Travel and Admin Executive,"
Keeping a record of the consumables of the office.
Handle Travel Desk in terms of travel and hotel bookings.
Receipt and scrutinize of all utility bills.
",https://in.indeed.com/company/Walking-tree-Ventures/jobs/Travel-Admin-Executive-008b3174840c02a2?fccid=bb670134d35540e3&vjs=3,EmployerActive 1 day ago
36,POOJA ELECTRONICS,"Mumbai, Maharashtra","?15,000 - ?25,000 a month",Computer Operator,"
Candidates would be required to put data in Excel .
Update day to day data in Excel.
Should have good communication skill.
Data entry: 1 year (Preferred).
",https://in.indeed.com/company/Pooja-Electronics/jobs/Computer-Operator-a1c2a8f6dee283b8?fccid=b140622967501bfe&vjs=3,PostedJust posted
37,Accenture,"Mumbai, Maharashtra",N/A,Business Operations and support,"
You will be working as a part of the team which is responsible for Program and Project Management.
Years of Experience: 3 -5 Years.
",https://in.indeed.com/rc/clk?jk=08aa6b35f22cb89c&fccid=a4e4e2eaf26690c9&vjs=3,PostedToday
38,Novac Technology Solutions,"Mumbai, Maharashtra","?15,000 - ?28,000 a month",Copywriter,"
Write clear, concise and grammatically correct copies with a distinct voice.
Gather an immersive understanding of the client’s brand, products or services.
",https://in.indeed.com/company/Novac-Technology-Solutions/jobs/Copywriter-65ccb7293fb480fa?fccid=54f8021e29ee6801&vjs=3,EmployerActive 1 day ago
39,3i Infotech,"Mumbai, Maharashtra","?5,00,000 a year",U.S.Mortgage - Jr Associate,"
Doc Processing Executives with good Doc Processing & Validation skills Execs worked in Mortgage Industry experience preferred (and any US Mortgage experience is…
",https://in.indeed.com/rc/clk?jk=04c11aae5237e93c&fccid=43535a61a8ed7ddf&vjs=3,PostedPosted 21 days ago
40,Advance Paints,"Mumbai, Maharashtra","?40,000 - ?50,000 a month",Executive Assistant,"
Reporting directly to the President, the Executive Assistant provides executive support in a one-on-one working relationship.
Total work: 5 years (Required).
",https://in.indeed.com/company/GA-Steels/jobs/Executive-Assistant-a94daad085da73aa?fccid=e36bc859ceffa8c6&vjs=3,PostedPosted 19 days ago
41,Markenzo Worldwide,"Mumbai, Maharashtra","?25,000 - ?50,000 a month",Copywriter,"
Thrive in a fast-paced, collaborative environment with a high-volume workload often requiring short turnaround times.
Experience with SEO keywords and writing.
",https://in.indeed.com/company/Markenzo-Worldwide/jobs/Copywriter-30334e36826f02ff?fccid=e453f302233d4441&vjs=3,EmployerActive 2 days ago
42,Groupe Veritas,"Mumbai, Maharashtra","?40,000 - ?50,000 a month",Officer - Banking & Finance,"
LC & BG opening (Import & Domestic).
Banking Activities such as Account opening, Bank Interest reconciliation & KYC updations.
",https://in.indeed.com/company/Groupe-Veritas/jobs/Officer-c4254a77af59199d?fccid=5288b201e15609c8&vjs=3,EmployerActive 2 days ago
43,Rishabh Metals & Chemicals Pvt Ltd,"Mumbai, Maharashtra","?3,00,000 - ?9,00,000 a year",RSM - West (Paper Chemicals),"
Specialty Chemicals Sales - Paper Div.
Having exp of sales in paper chemicals/ Specialty chemicals.
Responsible for business in west region.
",https://in.indeed.com/company/Rishabh-Metals-&-Chemicals-Pvt-Ltd/jobs/Rsm-0b0309a82a0928cd?fccid=462029d96e23961d&vjs=3,EmployerActive 4 days ago
44,Dynamic Prestress (I) Pvt. Ltd.,"Mumbai, Maharashtra","?25,000 - ?35,000 a month",Sales Coordinator- Mumbai,"
Utilize company resources to develop a filing system that keeps all active sales files available digitally and in hard copy form Daily follow up with the client…
",https://in.indeed.com/company/Dynamic-Prestress-Pvt.-Ltd.-Nashik/jobs/Sales-Coordinator-bb5612dc403df1dc?fccid=1af85eedaef69709&vjs=3,PostedPosted 3 days ago
45,Futurz,"Mumbai, Maharashtra","Up to ?27,000 a month",Chat process,"
Qualification minimum - SSC/HSc with 6 months of chat process experience.
Job Types: Full-time, Regular / Permanent, Fresher.
",https://in.indeed.com/company/Futurz/jobs/Chat-Process-dd426cf99604a18a?fccid=8dff1fde8aaa0e3a&vjs=3,PostedPosted 30+ days ago
46,wns,"Mumbai, Maharashtra","?2,10,000 - ?4,00,000 a month",WNS is hiring for Travel process,"
Job Description: *Good knowledge of Reservations and Ticketing on native (GDS system – Amadeus).
Previous reservations experience of the travel business –…
",https://in.indeed.com/company/WNS/jobs/Travel-Process-839c86216910c83f?fccid=b811134cb9aaa146&vjs=3,EmployerActive 1 day ago
